Negara,Iso-3,Tahun,Berat,Nilai
South Africa,ZAF,2010,410925.0,3781509.0
Albania,ALB,2010,100.0,500.0
Algeria,DZA,2010,28356.0,25349.0
United States,USA,2010,28772345.0,557758360.0
Angola,AGO,2010,354.0,3870.0
Argentina,ARG,2010,18243.0,187419.0
Aruba,ABW,2010,0.0,0.0
Australia,AUS,2010,340790.0,5856752.0
Austria,AUT,2010,14145.0,233771.0
Bahamass,BHS,2010,176.0,927.0
Bahrain,BHR,2010,618.0,7236.0
Bangladesh,BGD,2010,324668.0,1929146.0
Barbados,BRB,2010,118.0,2539.0
Netherlands,NLD,2010,2090185.0,27176815.0
Belgium,BEL,2010,88386.0,2891684.0
Belize,BLZ,2010,7093.0,20002.0
Benin,BEN,2010,98281.0,260911.0
Bermuda,BMU,2010,592.0,8936.0
Bolivia,BOL,2010,241.0,5705.0
Brazil,BRA,2010,21243.0,817634.0
Brunei Darussalam,BRN,2010,30026.0,296249.0
Bulgaria,BGR,2010,0.0,0.0
Chile,CHL,2010,28219.0,322564.0
China,CHN,2010,127227.0,1982403.0
Colombia,COL,2010,2548.0,37902.0
COOK ISLANDS,COK,2010,0.0,0.0
Costa Rica,CRI,2010,4243.0,71424.0
Cyprus,CYP,2010,1044.0,4793.0
Denmark,DNK,2010,55435.0,766757.0
Djibouti,DJI,2010,10025.0,35365.0
Ecuador,ECU,2010,0.0,0.0
El Salvador,SLV,2010,0.0,0.0
Ethiopia,ETH,2010,0.0,0.0
Russia,RUS,2010,39977.0,1079364.0
Fiji,FJI,2010,83298.0,594928.0
Finland,FIN,2010,12697.0,147829.0
French Polynesia,PYF,2010,5492.0,17843.0
Gambia,GMB,2010,16977.0,91497.0
Georgia,GEO,2010,0.0,0.0
Ghana,GHA,2010,35119.0,224176.0
Gibraltar,GIB,2010,0.0,0.0
Guadeloupe,GLP,2010,51.0,1733.0
Guam,GUM,2010,518.0,7388.0
Guinea,GIN,2010,0.0,0.0
Guyana,GUY,2010,3344.0,9512.0
Haiti,HTI,2010,0.0,0.0
Hong Kong,HKG,2010,121436.0,2937359.0
Hungary,HUN,2010,2301.0,16092.0
Iceland,ISL,2010,264.0,2504.0
India,IND,2010,759.0,16556.0
United Kingdom,GBR,2010,2305302.0,53781737.0
Iraq,IRQ,2010,9772.0,558600.0
Iran,IRN,2010,1451.0,2384.0
Ireland,IRL,2010,346.0,632.0
Israel,ISR,2010,9682.0,101574.0
Italy,ITA,2010,167110.0,5333470.0
Jamaica,JAM,2010,988.0,7215.0
Japan,JPN,2010,1053202.0,21575136.0
Germany,DEU,2010,5337841.0,126316805.0
JERSEY,JEY,2010,0.0,0.0
Jordan,JOR,2010,18807.0,106341.0
New Caledonia,NCL,2010,6775.0,86265.0
Cambodia,KHM,2010,108851.0,400259.0
Cameroon,CMR,2010,0.0,0.0
Canada,CAN,2010,988057.0,19487787.0
Kazakhstan,KAZ,2010,0.0,0.0
Kenya,KEN,2010,4118.0,7020.0
Republic of the Congo,COG,2010,0.0,0.0
South Korea,KOR,2010,348658.0,3082119.0
Croatia,HRV,2010,443.0,17387.0
Kuwait,KWT,2010,104366.0,1304627.0
Latvia,LVA,2010,1613.0,20217.0
Lebanon,LBN,2010,1413.0,22921.0
Libya,LBY,2010,26748.0,366500.0
Lithuania,LTU,2010,0.0,0.0
Luxembourg,LUX,2010,6.0,101.0
Macau,MAC,2010,39206.0,212099.0
Madagascar,MDG,2010,10720.0,4883.0
Maldives,MDV,2010,2790.0,45809.0
Malaysia,MYS,2010,841227.0,9546585.0
Malta,MLT,2010,1356.0,40241.0
Morocco,MAR,2010,172.0,3993.0
Martinique,MTQ,2010,352.0,634.0
Mauritania,MRT,2010,0.0,0.0
Mauritius,MUS,2010,5037.0,25220.0
Mexico,MEX,2010,426301.0,10152314.0
Egypt,EGY,2010,879601.0,13373600.0
Monaco,MCO,2010,0.0,0.0
Mongolia,MNG,2010,0.0,0.0
Myanmar,MMR,2010,0.0,0.0
Namibia,NAM,2010,0.0,0.0
Nepal,NPL,2010,424.0,13714.0
Netherlands Antilles,ANT,2010,1114.0,57447.0
Niger,NER,2010,4084.0,10000.0
Nigeria,NGA,2010,253584.0,300457.0
Nicaragua,NIC,2010,12.0,28.0
Northern Mariana Islands,MNP,2010,0.0,0.0
Norway,NOR,2010,31189.0,762236.0
Oman,OMN,2010,4.0,11.0
Pakistan,PAK,2010,208326.0,1156715.0
Palau,PLW,2010,494.0,4645.0
Panama,PAN,2010,101564.0,1952817.0
Cote d'Ivoire,CIV,2010,0.0,0.0
Papua New Guinea,PNG,2010,2404.0,12159.0
Paraguay,PRY,2010,769.0,17678.0
France,FRA,2010,266083.0,6563911.0
Peru,PER,2010,4703.0,70267.0
Philippines,PHL,2010,610081.0,4900086.0
Poland,POL,2010,20353.0,965162.0
Portugal,PRT,2010,15794.0,173772.0
Puerto Rico,PRI,2010,20344.0,225259.0
Qatar,QAT,2010,32.0,37.0
Czech Republic,CZE,2010,4320.0,151473.0
Dominican Republic,DOM,2010,34648.0,196903.0
Reunion,REU,2010,1557.0,12951.0
Romania,ROU,2010,0.0,0.0
Saint Kitts and Nevis,KNA,2010,413.0,2816.0
Saint Lucia,LCA,2010,0.0,0.0
Sao Tome and Principe,STP,2010,3771.0,1100.0
Saudi Arabia,SAU,2010,1941325.0,17832655.0
New Zealand,NZL,2010,120208.0,993005.0
Serbia,SRB,2010,0.0,0.0
Seychelles,SYC,2010,891.0,6128.0
Singapore,SGP,2010,589761.0,5898096.0
Slovakia,SVK,2010,0.0,0.0
Slovenia,SVN,2010,116.0,1736.0
Somalia,SOM,2010,0.0,0.0
Spain,ESP,2010,876557.0,17134641.0
Sri Lanka,LKA,2010,526043.0,3327973.0
Saint Vincent and the Grenadines,VCT,2010,36.0,275.0
Sudan,SDN,2010,353406.0,2375151.0
Suriname,SUR,2010,48259.0,103268.0
Eswatini,SWZ,2010,0.0,0.0
Sweden,SWE,2010,43795.0,1617979.0
Switzerland,CHE,2010,64793.0,1689673.0
Taiwan,TWN,2010,134273.0,1484770.0
Thailand,THA,2010,305340.0,4872175.0
Timor-Leste,TLS,2010,28294.0,38630.0
Togo,TGO,2010,0.0,0.0
Tonga,TON,2010,0.0,0.0
Trinidad and Tobago,TTO,2010,1269.0,12803.0
Tunisia,TUN,2010,2.0,17.0
Turkey,TUR,2010,279299.0,8254745.0
Turks and Caicos Islands,TCA,2010,0.0,0.0
United States Virgin Islands,VIR,2010,0.0,0.0
Uganda,UGA,2010,103.0,489.0
Ukraine,UKR,2010,0.0,0.0
United Arab Emirates,ARE,2010,1312172.0,19862875.0
Uruguay,URY,2010,4261.0,56278.0
Uzbekistan,UZB,2010,0.0,0.0
Vanuatu,VUT,2010,1342.0,3953.0
Venezuela,VEN,2010,962.0,15045.0
Vietnam,VNM,2010,147244.0,1390290.0
British Virgin Islands,VGB,2010,0.0,0.0
Yemen,YEM,2010,41124.0,418478.0
Greece,GRC,2010,8226.0,129891.0
Zimbabwe,ZWE,2010,696.0,4609.0
South Africa,ZAF,2011,540736.0,5749429.0
Albania,ALB,2011,40.0,200.0
Algeria,DZA,2011,19332.0,295350.0
United States,USA,2011,28728955.0,639544805.0
Angola,AGO,2011,0.0,0.0
Argentina,ARG,2011,16303.0,681380.0
Aruba,ABW,2011,0.0,0.0
Australia,AUS,2011,426060.0,9308522.0
Austria,AUT,2011,10146.0,166093.0
Bahamass,BHS,2011,218.0,389.0
Bahrain,BHR,2011,699.0,6010.0
Bangladesh,BGD,2011,306563.0,1823733.0
Barbados,BRB,2011,32.0,534.0
Netherlands,NLD,2011,1205676.0,24303243.0
Belgium,BEL,2011,115623.0,3932003.0
Belize,BLZ,2011,0.0,0.0
Benin,BEN,2011,29138.0,94308.0
Bermuda,BMU,2011,38.0,330.0
Bolivia,BOL,2011,10388.0,80570.0
Brazil,BRA,2011,56368.0,2012391.0
Brunei Darussalam,BRN,2011,24770.0,295069.0
Bulgaria,BGR,2011,1575.0,3434.0
Chile,CHL,2011,41232.0,810766.0
China,CHN,2011,255435.0,6344743.0
Colombia,COL,2011,11351.0,300103.0
COOK ISLANDS,COK,2011,0.0,0.0
Costa Rica,CRI,2011,1615.0,60353.0
Cyprus,CYP,2011,285.0,5562.0
Denmark,DNK,2011,32880.0,846037.0
Djibouti,DJI,2011,0.0,0.0
Ecuador,ECU,2011,0.0,0.0
El Salvador,SLV,2011,0.0,0.0
Ethiopia,ETH,2011,34265.0,197514.0
Russia,RUS,2011,23632.0,614216.0
Fiji,FJI,2011,76068.0,599951.0
Finland,FIN,2011,24391.0,319814.0
French Polynesia,PYF,2011,1234.0,15929.0
Gambia,GMB,2011,1774.0,6900.0
Georgia,GEO,2011,1989.0,31749.0
Ghana,GHA,2011,41545.0,278399.0
Gibraltar,GIB,2011,0.0,0.0
Guadeloupe,GLP,2011,3622.0,9687.0
Guam,GUM,2011,824.0,17977.0
Guinea,GIN,2011,4216.0,16200.0
Guyana,GUY,2011,0.0,0.0
Haiti,HTI,2011,0.0,0.0
Hong Kong,HKG,2011,100744.0,2637367.0
Hungary,HUN,2011,9436.0,33506.0
Iceland,ISL,2011,0.0,0.0
India,IND,2011,8450.0,182631.0
United Kingdom,GBR,2011,2316258.0,59387870.0
Iraq,IRQ,2011,11227.0,69250.0
Iran,IRN,2011,64476.0,1041286.0
Ireland,IRL,2011,4273.0,141254.0
Israel,ISR,2011,3157.0,89466.0
Italy,ITA,2011,178803.0,6510526.0
Jamaica,JAM,2011,0.0,0.0
Japan,JPN,2011,1496074.0,40968982.0
Germany,DEU,2011,5078519.0,145596261.0
JERSEY,JEY,2011,0.0,0.0
Jordan,JOR,2011,86136.0,526118.0
New Caledonia,NCL,2011,3154.0,66753.0
Cambodia,KHM,2011,30571.0,235628.0
Cameroon,CMR,2011,0.0,0.0
Canada,CAN,2011,1138453.0,26778560.0
Kazakhstan,KAZ,2011,130.0,4477.0
Kenya,KEN,2011,1343.0,5411.0
Republic of the Congo,COG,2011,4.0,12.0
South Korea,KOR,2011,304510.0,4648202.0
Croatia,HRV,2011,1740.0,51852.0
Kuwait,KWT,2011,116436.0,1738254.0
Latvia,LVA,2011,1950.0,28396.0
Lebanon,LBN,2011,610.0,19898.0
Libya,LBY,2011,27540.0,405450.0
Lithuania,LTU,2011,15.0,138.0
Luxembourg,LUX,2011,71.0,1321.0
Macau,MAC,2011,2107.0,20618.0
Madagascar,MDG,2011,12805.0,4230.0
Maldives,MDV,2011,1105.0,65506.0
Malaysia,MYS,2011,933785.0,10825403.0
Malta,MLT,2011,4594.0,149406.0
Morocco,MAR,2011,735.0,18745.0
Martinique,MTQ,2011,0.0,0.0
Mauritania,MRT,2011,0.0,0.0
Mauritius,MUS,2011,2973.0,28609.0
Mexico,MEX,2011,455776.0,12420074.0
Egypt,EGY,2011,807203.0,12883240.0
Monaco,MCO,2011,0.0,0.0
Mongolia,MNG,2011,0.0,0.0
Myanmar,MMR,2011,5435.0,98208.0
Namibia,NAM,2011,0.0,0.0
Nepal,NPL,2011,0.0,0.0
Netherlands Antilles,ANT,2011,4388.0,104774.0
Niger,NER,2011,1121.0,3800.0
Nigeria,NGA,2011,7784.0,21793.0
Nicaragua,NIC,2011,0.0,0.0
Northern Mariana Islands,MNP,2011,0.0,0.0
Norway,NOR,2011,24585.0,749456.0
Oman,OMN,2011,4417.0,58577.0
Pakistan,PAK,2011,217945.0,1350431.0
Palau,PLW,2011,8.0,68.0
Panama,PAN,2011,171775.0,3120145.0
Cote d'Ivoire,CIV,2011,0.0,0.0
Papua New Guinea,PNG,2011,100495.0,275041.0
Paraguay,PRY,2011,0.0,0.0
France,FRA,2011,196226.0,6599699.0
Peru,PER,2011,6412.0,289892.0
Philippines,PHL,2011,543990.0,5796567.0
Poland,POL,2011,64833.0,2484579.0
Portugal,PRT,2011,11189.0,160591.0
Puerto Rico,PRI,2011,28283.0,312051.0
Qatar,QAT,2011,15660.0,202315.0
Czech Republic,CZE,2011,7673.0,221380.0
Dominican Republic,DOM,2011,4485.0,80076.0
Reunion,REU,2011,3356.0,14604.0
Romania,ROU,2011,11.0,770.0
Saint Kitts and Nevis,KNA,2011,48.0,667.0
Saint Lucia,LCA,2011,25.0,15.0
Sao Tome and Principe,STP,2011,0.0,0.0
Saudi Arabia,SAU,2011,1491595.0,18742845.0
New Zealand,NZL,2011,122095.0,1309608.0
Serbia,SRB,2011,0.0,0.0
Seychelles,SYC,2011,1843.0,20157.0
Singapore,SGP,2011,493212.0,7156265.0
Slovakia,SVK,2011,694.0,7464.0
Slovenia,SVN,2011,1.0,13.0
Somalia,SOM,2011,0.0,0.0
Spain,ESP,2011,895713.0,16557944.0
Sri Lanka,LKA,2011,295265.0,2068387.0
Saint Vincent and the Grenadines,VCT,2011,0.0,0.0
Sudan,SDN,2011,83554.0,1057388.0
Suriname,SUR,2011,10522.0,92729.0
Eswatini,SWZ,2011,12.0,319.0
Sweden,SWE,2011,41829.0,1456467.0
Switzerland,CHE,2011,34664.0,1186461.0
Taiwan,TWN,2011,199208.0,4399724.0
Thailand,THA,2011,213219.0,3255106.0
Timor-Leste,TLS,2011,10437.0,22491.0
Togo,TGO,2011,94395.0,887820.0
Tonga,TON,2011,0.0,0.0
Trinidad and Tobago,TTO,2011,520.0,5609.0
Tunisia,TUN,2011,8902.0,93232.0
Turkey,TUR,2011,241322.0,7183860.0
Turks and Caicos Islands,TCA,2011,0.0,0.0
United States Virgin Islands,VIR,2011,0.0,0.0
Uganda,UGA,2011,93.0,516.0
Ukraine,UKR,2011,9288.0,143128.0
United Arab Emirates,ARE,2011,1398381.0,24748278.0
Uruguay,URY,2011,453.0,10424.0
Uzbekistan,UZB,2011,0.0,0.0
Vanuatu,VUT,2011,123.0,2144.0
Venezuela,VEN,2011,0.0,0.0
Vietnam,VNM,2011,61958.0,516041.0
British Virgin Islands,VGB,2011,0.0,0.0
Yemen,YEM,2011,43700.0,438863.0
Greece,GRC,2011,10630.0,178029.0
Zimbabwe,ZWE,2011,0.0,0.0
South Africa,ZAF,2012,296449.0,1874391.0
Albania,ALB,2012,0.0,0.0
Algeria,DZA,2012,0.0,0.0
United States,USA,2012,6521473.0,150177953.0
Angola,AGO,2012,0.0,0.0
Argentina,ARG,2012,1994.0,77349.0
Aruba,ABW,2012,0.0,0.0
Australia,AUS,2012,84812.0,2183613.0
Austria,AUT,2012,30.0,338.0
Bahamass,BHS,2012,0.0,0.0
Bahrain,BHR,2012,0.0,0.0
Bangladesh,BGD,2012,194128.0,1180533.0
Barbados,BRB,2012,0.0,0.0
Netherlands,NLD,2012,221139.0,4639215.0
Belgium,BEL,2012,386.0,4593.0
Belize,BLZ,2012,0.0,0.0
Benin,BEN,2012,28804.0,66989.0
Bermuda,BMU,2012,350.0,2554.0
Bolivia,BOL,2012,0.0,0.0
Brazil,BRA,2012,5153.0,212391.0
Brunei Darussalam,BRN,2012,5931.0,90069.0
Bulgaria,BGR,2012,0.0,0.0
Chile,CHL,2012,5088.0,148763.0
China,CHN,2012,84621.0,2649751.0
Colombia,COL,2012,0.0,0.0
COOK ISLANDS,COK,2012,0.0,0.0
Costa Rica,CRI,2012,0.0,0.0
Cyprus,CYP,2012,0.0,0.0
Denmark,DNK,2012,11213.0,159811.0
Djibouti,DJI,2012,0.0,0.0
Ecuador,ECU,2012,0.0,0.0
El Salvador,SLV,2012,0.0,0.0
Ethiopia,ETH,2012,0.0,0.0
Russia,RUS,2012,1871.0,80604.0
Fiji,FJI,2012,54606.0,269081.0
Finland,FIN,2012,0.0,0.0
French Polynesia,PYF,2012,1814.0,24702.0
Gambia,GMB,2012,19605.0,112746.0
Georgia,GEO,2012,0.0,0.0
Ghana,GHA,2012,0.0,0.0
Gibraltar,GIB,2012,0.0,0.0
Guadeloupe,GLP,2012,0.0,0.0
Guam,GUM,2012,335.0,5002.0
Guinea,GIN,2012,0.0,0.0
Guyana,GUY,2012,0.0,0.0
Haiti,HTI,2012,0.0,0.0
Hong Kong,HKG,2012,47860.0,1626980.0
Hungary,HUN,2012,0.0,0.0
Iceland,ISL,2012,0.0,0.0
India,IND,2012,8748.0,288163.0
United Kingdom,GBR,2012,617273.0,19432195.0
Iraq,IRQ,2012,0.0,0.0
Iran,IRN,2012,0.0,0.0
Ireland,IRL,2012,0.0,0.0
Israel,ISR,2012,158.0,6436.0
Italy,ITA,2012,5075.0,220802.0
Jamaica,JAM,2012,0.0,0.0
Japan,JPN,2012,421447.0,13932823.0
Germany,DEU,2012,193026.0,5491556.0
JERSEY,JEY,2012,0.0,0.0
Jordan,JOR,2012,41890.0,267210.0
New Caledonia,NCL,2012,22.0,512.0
Cambodia,KHM,2012,306539.0,1256780.0
Cameroon,CMR,2012,0.0,0.0
Canada,CAN,2012,215144.0,3265868.0
Kazakhstan,KAZ,2012,324.0,13282.0
Kenya,KEN,2012,0.0,0.0
Republic of the Congo,COG,2012,0.0,0.0
South Korea,KOR,2012,69982.0,1871446.0
Croatia,HRV,2012,1285.0,12498.0
Kuwait,KWT,2012,45019.0,661502.0
Latvia,LVA,2012,0.0,0.0
Lebanon,LBN,2012,26.0,1089.0
Libya,LBY,2012,0.0,0.0
Lithuania,LTU,2012,0.0,0.0
Luxembourg,LUX,2012,0.0,0.0
Macau,MAC,2012,47787.0,300762.0
Madagascar,MDG,2012,0.0,0.0
Maldives,MDV,2012,378.0,12888.0
Malaysia,MYS,2012,51583.0,1133160.0
Malta,MLT,2012,0.0,0.0
Morocco,MAR,2012,29.0,1216.0
Martinique,MTQ,2012,275.0,4565.0
Mauritania,MRT,2012,0.0,0.0
Mauritius,MUS,2012,1401.0,18394.0
Mexico,MEX,2012,82403.0,1769750.0
Egypt,EGY,2012,0.0,0.0
Monaco,MCO,2012,0.0,0.0
Mongolia,MNG,2012,42.0,2285.0
Myanmar,MMR,2012,2644.0,25968.0
Namibia,NAM,2012,0.0,0.0
Nepal,NPL,2012,0.0,0.0
Netherlands Antilles,ANT,2012,56.0,638.0
Niger,NER,2012,0.0,0.0
Nigeria,NGA,2012,838.0,2325.0
Nicaragua,NIC,2012,0.0,0.0
Northern Mariana Islands,MNP,2012,0.0,0.0
Norway,NOR,2012,0.0,0.0
Oman,OMN,2012,302.0,4404.0
Pakistan,PAK,2012,123419.0,773082.0
Palau,PLW,2012,68.0,304.0
Panama,PAN,2012,69193.0,872734.0
Cote d'Ivoire,CIV,2012,0.0,0.0
Papua New Guinea,PNG,2012,0.0,0.0
Paraguay,PRY,2012,0.0,0.0
France,FRA,2012,21324.0,829204.0
Peru,PER,2012,720.0,31339.0
Philippines,PHL,2012,29067.0,306801.0
Poland,POL,2012,197.0,3464.0
Portugal,PRT,2012,0.0,0.0
Puerto Rico,PRI,2012,40.0,2435.0
Qatar,QAT,2012,0.0,0.0
Czech Republic,CZE,2012,986.0,42591.0
Dominican Republic,DOM,2012,13113.0,86362.0
Reunion,REU,2012,0.0,0.0
Romania,ROU,2012,0.0,0.0
Saint Kitts and Nevis,KNA,2012,0.0,0.0
Saint Lucia,LCA,2012,0.0,0.0
Sao Tome and Principe,STP,2012,0.0,0.0
Saudi Arabia,SAU,2012,151436.0,3319086.0
New Zealand,NZL,2012,42463.0,288329.0
Serbia,SRB,2012,0.0,0.0
Seychelles,SYC,2012,31.0,463.0
Singapore,SGP,2012,63842.0,1200146.0
Slovakia,SVK,2012,0.0,0.0
Slovenia,SVN,2012,0.0,0.0
Somalia,SOM,2012,0.0,0.0
Spain,ESP,2012,106932.0,1919577.0
Sri Lanka,LKA,2012,23858.0,116586.0
Saint Vincent and the Grenadines,VCT,2012,0.0,0.0
Sudan,SDN,2012,0.0,0.0
Suriname,SUR,2012,0.0,0.0
Eswatini,SWZ,2012,0.0,0.0
Sweden,SWE,2012,66.0,993.0
Switzerland,CHE,2012,995.0,11185.0
